CVE,Cape Verde Escudo,Escudo du Cap-Vert,Escudo Caboverdiano,Kap-Verde-Escudo,Escudo cabo-verdiano,カーボベルデ・エスクード,佛得角埃斯庫多,카보베르데 에스쿠도,Kaapverdische escudo,Escudo di Capo Verde
CYP,Cypriot pound,Livre Chypriote,Libra Chipriota,Zypern-Pfund,Libra cipriota,キプロス・ポンド,塞浦路斯鎊,키프로스 파운드,Cypriotisch pond,Lira cipriota
CZK,Czech Koruna,Couronne Tchèque,Koruna Checo,Tschechische Krone,Coroa,チェコ・コルナ,捷克克朗,체코 코루나,Tsjechische kroon,Corona ceca
DEM,German mark,Mark Allemand,Marco Alemán,Deutsche Mark,Marco alemão,東ドイツ・マルク,德國馬克,독일 마르크,Duitse mark,Marco tedesco
DJF,Djibouti Franc,Franc de Djibouti,Franco Yibutiano,Dschibuti-Franc,Franco do Djibuti,ジブチ・フラン,吉布提法郎,지부티 프랑,Djiboutiaanse frank,Franco gibutiano
DKK,Danish Krone,Couronne Danoise,Corona Danesa,Dänische Krone,Coroa dinamarquesa,デンマーク・クローネ,丹麥克朗,덴마크 크로네,Deense kroon,Corona danese
DOP,Dominican Peso,Peso Dominicain,Peso Dominicano,Dominikanischer Peso,Peso,ドミニカ・ペソ,多米尼加比索,도미니카 페소,Dominicaanse peso,Peso dominicano
DZD,Algerian Dinar,Dinar Algérien,Dinar Algerino,Algerischer Dinar,Dinar argelino,アルジェリア・ディナール,阿爾及利亞第納爾,알제리 디나르,Algerijnse dinar,Dinaro algerino
EEK,Kroon,Couronne Estonienne,Corona Estonia,Estnische Krone,Coroa estoniana,クローン,愛沙尼亞克朗,에스토니아 크론,Estse kroon,Corona estone
EGP,Egyptian Pound,Livre Égyptienne,Libra Egipcia,Ägyptisches Pfund,Libra egípcia,エジプト・ポンド,埃及鎊,이집트 파운드,Egyptisch pond,Lira egiziana 
ERN,Nakfa,Nakfa,Nakfa Eritreo,Nakfa,Nakfa,ナクファ,厄立特裡亞納克法,에리트레아 낙파,Eritrese nakfa,Nakfa eritreo
